title,filename,tm,edcs,uri,doi,edr,phi,epicum,term_key_0,term_ref_0,term_text_0,term_cert_0,0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0028,isic0028,491788,22000872,http://sicily.classics.ox.ac.uk/inscription/isic0028,10.5281/zenodo.4333828,137870,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0029,isic0029,491794,22000878,http://sicily.classics.ox.ac.uk/inscription/isic0029,10.5281/zenodo.4333832,138106,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0030,isic0030,491795,22000879,http://sicily.classics.ox.ac.uk/inscription/isic0030,10.5281/zenodo.4333836,137836,,,votive,http://www.eagle-network.eu/voc/typeins/lod/83.html,votive (?),,,,,,
I.Sicily inscription 0031,isic0031,491797,22000881,http://sicily.classics.ox.ac.uk/inscription/isic0031,10.5281/zenodo.4333839,138294,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0032,isic0032,491805,22100008,http://sicily.classics.ox.ac.uk/inscription/isic0032,10.5281/zenodo.4333841,137780,,,,,(?),,,,,,
I.Sicily inscription 0033,isic0033,491809,22100012,http://sicily.classics.ox.ac.uk/inscription/isic0033,10.5281/zenodo.4333845,137781,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0034,isic0034,491811,22100014,http://sicily.classics.ox.ac.uk/inscription/isic0034,10.5281/zenodo.4333847,137868,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0035,isic0035,491821,22100025,http://sicily.classics.ox.ac.uk/inscription/isic0035,10.5281/zenodo.4333851,137866,,,,,(?),,,,,,
I.Sicily inscription 0036,isic0036,491826,22100030,http://sicily.classics.ox.ac.uk/inscription/isic0036,10.5281/zenodo.4333853,137864,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0037,isic0037,491829,22100033,http://sicily.classics.ox.ac.uk/inscription/isic0037,10.5281/zenodo.4333857,137779,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,,,
I.Sicily inscription 0038,isic0038,491830,22100034,http://sicily.classics.ox.ac.uk/inscription/isic0038,10.5281/zenodo.4333859,137597,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0039,isic0039,644806,64800036,http://sicily.classics.ox.ac.uk/inscription/isic0039,10.5281/zenodo.4333863,137596,,,,,(?),,,,,,
I.Sicily inscription 0040,isic0040,491850,22100588,http://sicily.classics.ox.ac.uk/inscription/isic0040,10.5281/zenodo.4333867,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0041,isic0041,175716,9400438,http://sicily.classics.ox.ac.uk/inscription/isic0041,10.5281/zenodo.4333869,076312,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0042,isic0042,491765,22000849,http://sicily.classics.ox.ac.uk/inscription/isic0042,10.5281/zenodo.4333875,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0043,isic0043,491707,22000787,http://sicily.classics.ox.ac.uk/inscription/isic0043,10.5281/zenodo.4333878,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0044,isic0044,491618,21900449,http://sicily.classics.ox.ac.uk/inscription/isic0044,10.5281/zenodo.4333884,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0045,isic0045,491665,21900499,http://sicily.classics.ox.ac.uk/inscription/isic0045,10.5281/zenodo.4333886,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0046,isic0046,491682,21900516,http://sicily.classics.ox.ac.uk/inscription/isic0046,10.5281/zenodo.4333890,,175713,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0047,isic0047,491833,22100037,http://sicily.classics.ox.ac.uk/inscription/isic0047,10.5281/zenodo.4333892,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0048,isic0048,491487,21900308,http://sicily.classics.ox.ac.uk/inscription/isic0048,10.5281/zenodo.4333896,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0049,isic0049,491493,21900316,http://sicily.classics.ox.ac.uk/inscription/isic0049,10.5281/zenodo.4333898,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0050,isic0050,491494,21900317,http://sicily.classics.ox.ac.uk/inscription/isic0050,10.5281/zenodo.4333902,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0051,isic0051,175717,9400439,http://sicily.classics.ox.ac.uk/inscription/isic0051,10.5281/zenodo.4333904,076313,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0052,isic0052,285282,22100045,http://sicily.classics.ox.ac.uk/inscription/isic0052,10.5281/zenodo.4333908,127503,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0053,isic0053,285285,22100048,http://sicily.classics.ox.ac.uk/inscription/isic0053,10.5281/zenodo.4333912,127506,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0054,isic0054,285242,22100094,http://sicily.classics.ox.ac.uk/inscription/isic0054,10.5281/zenodo.4333916,111301,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0055,isic0055,285030,22100068,http://sicily.classics.ox.ac.uk/inscription/isic0055,10.5281/zenodo.4333922,110920,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0056,isic0056,284852,22100092,http://sicily.classics.ox.ac.uk/inscription/isic0056,10.5281/zenodo.4333926,111049,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0057,isic0057,285311,22100105,http://sicily.classics.ox.ac.uk/inscription/isic0057,10.5281/zenodo.4333930,127541,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0058,isic0058,285298,22100119,http://sicily.classics.ox.ac.uk/inscription/isic0058,10.5281/zenodo.4333934,127523,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0059,isic0059,285301,22100134,http://sicily.classics.ox.ac.uk/inscription/isic0059,10.5281/zenodo.4333938,127527,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0060,isic0060,285304,22100138,http://sicily.classics.ox.ac.uk/inscription/isic0060,10.5281/zenodo.4333942,127530,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,,,
I.Sicily inscription 0061,isic0061,285315,22100148,http://sicily.classics.ox.ac.uk/inscription/isic0061,10.5281/zenodo.4333946,127526,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0062,isic0062,285291,22100149,http://sicily.classics.ox.ac.uk/inscription/isic0062,10.5281/zenodo.4333952,127514,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0063,isic0063,175834,22100591,http://sicily.classics.ox.ac.uk/inscription/isic0063,10.5281/zenodo.4333956,094013,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific; building,,,,,,
I.Sicily inscription 0064,isic0064,491853,22100592,http://sicily.classics.ox.ac.uk/inscription/isic0064,10.5281/zenodo.4333962,142423,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0065,isic0065,175742,6100250,http://sicily.classics.ox.ac.uk/inscription/isic0065,10.5281/zenodo.4333966,142424,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0066,isic0066,491855,22100594,http://sicily.classics.ox.ac.uk/inscription/isic0066,10.5281/zenodo.4333970,142426,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0067,isic0067,491856,22100595,http://sicily.classics.ox.ac.uk/inscription/isic0067,10.5281/zenodo.4333972,142428,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0068,isic0068,491858,22100597,http://sicily.classics.ox.ac.uk/inscription/isic0068,10.5281/zenodo.4333976,142429,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0069,isic0069,491859,22100598,http://sicily.classics.ox.ac.uk/inscription/isic0069,10.5281/zenodo.4333980,142431,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0070,isic0070,491860,22100599,http://sicily.classics.ox.ac.uk/inscription/isic0070,10.5281/zenodo.4333984,140095; 142435,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0071,isic0071,491822,22100026,http://sicily.classics.ox.ac.uk/inscription/isic0071,10.5281/zenodo.4333988,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,,,
I.Sicily inscription 0072,isic0072,644807,,http://sicily.classics.ox.ac.uk/inscription/isic0072,10.5281/zenodo.4384232,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0073,isic0073,644808,,http://sicily.classics.ox.ac.uk/inscription/isic0073,10.5281/zenodo.4384234,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0074,isic0074,644809,,http://sicily.classics.ox.ac.uk/inscription/isic0074,10.5281/zenodo.4384236,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0075,isic0075,644810,,http://sicily.classics.ox.ac.uk/inscription/isic0075,10.5281/zenodo.4384238,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
I.Sicily inscription 0076,isic0076,644811,,http://sicily.classics.ox.ac.uk/inscription/isic0076,10.5281/zenodo.4384240,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
