title,filename,tm,edcs,uri,doi,edr,phi,epicum,term_key_0,term_ref_0,term_text_0,term_cert_0,0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0349,isic0349,491558,21900387,http://sicily.classics.ox.ac.uk/inscription/isic0349,10.5281/zenodo.4384328,141174,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Epitaph for Cnaeus Fabius Titianus,isic0350,491559,21900388,http://sicily.classics.ox.ac.uk/inscription/isic0350,10.5281/zenodo.4335159,139218,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
"Fragmentary epitaph, Faustina commemorates her mother",isic0351,491560,21900389,http://sicily.classics.ox.ac.uk/inscription/isic0351,10.5281/zenodo.4335468,141175,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
"
Funerary altar for Titus Flavius
",isic0352,491561,21900390,http://sicily.classics.ox.ac.uk/inscription/isic0352,10.5281/zenodo.4335470,139603,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0353,isic0353,491562,21900391,http://sicily.classics.ox.ac.uk/inscription/isic0353,10.5281/zenodo.4384343,141176,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0354,isic0354,491563,21900392,http://sicily.classics.ox.ac.uk/inscription/isic0354,10.5281/zenodo.4335472,139210,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0355,isic0355,491564,21900393,http://sicily.classics.ox.ac.uk/inscription/isic0355,10.5281/zenodo.4384345,141177,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0356,isic0356,491565,21900394,http://sicily.classics.ox.ac.uk/inscription/isic0356,10.5281/zenodo.4384347,141178,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0357,isic0357,491566,21900395,http://sicily.classics.ox.ac.uk/inscription/isic0357,10.5281/zenodo.4384349,141179,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,,,
I.Sicily inscription 0358,isic0358,491567,21900396,http://sicily.classics.ox.ac.uk/inscription/isic0358,10.5281/zenodo.4335474,139178,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0359,isic0359,491569,21900398,http://sicily.classics.ox.ac.uk/inscription/isic0359,10.5281/zenodo.4384351,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0360,isic0360,491570,21900399,http://sicily.classics.ox.ac.uk/inscription/isic0360,10.5281/zenodo.4384353,141182,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Fragmentary bilingual epitaph for Marylla,isic0361,491571,21900400,http://sicily.classics.ox.ac.uk/inscription/isic0361,10.5281/zenodo.4335476,,316230,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0362,isic0362,491573,21900402,http://sicily.classics.ox.ac.uk/inscription/isic0362,10.5281/zenodo.4335478,141208,313674,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0363,isic0363,491574,21900403,http://sicily.classics.ox.ac.uk/inscription/isic0363,10.5281/zenodo.4384355,141183,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Epitaph of Petillia,isic0364,491575,21900404,http://sicily.classics.ox.ac.uk/inscription/isic0364,10.5281/zenodo.4335480,139168,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0365,isic0365,491576,21900405,http://sicily.classics.ox.ac.uk/inscription/isic0365,10.5281/zenodo.4384358,141184,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0366,isic0366,491577,21900406,http://sicily.classics.ox.ac.uk/inscription/isic0366,10.5281/zenodo.4335482,139166,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0367,isic0367,491578,21900407,http://sicily.classics.ox.ac.uk/inscription/isic0367,10.5281/zenodo.4335484,139600,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary; honorific,,,,,,
I.Sicily inscription 0368,isic0368,491579,21900408,http://sicily.classics.ox.ac.uk/inscription/isic0368,10.5281/zenodo.4335486,139163,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0369,isic0369,491580,21900409,http://sicily.classics.ox.ac.uk/inscription/isic0369,10.5281/zenodo.4335490,140105,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0370,isic0370,491581,21900410,http://sicily.classics.ox.ac.uk/inscription/isic0370,10.5281/zenodo.4384361,141185,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0371,isic0371,491582,21900411,http://sicily.classics.ox.ac.uk/inscription/isic0371,10.5281/zenodo.4335492,139160,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0372,isic0372,491583,21900412,http://sicily.classics.ox.ac.uk/inscription/isic0372,10.5281/zenodo.4384363,141186,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0373,isic0373,491584,21900413,http://sicily.classics.ox.ac.uk/inscription/isic0373,10.5281/zenodo.4384365,141187,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0374,isic0374,491585,21900414,http://sicily.classics.ox.ac.uk/inscription/isic0374,10.5281/zenodo.4384367,141188,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0375,isic0375,491586,21900415,http://sicily.classics.ox.ac.uk/inscription/isic0375,10.5281/zenodo.4384369,141189,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0376,isic0376,491587,21900416,http://sicily.classics.ox.ac.uk/inscription/isic0376,10.5281/zenodo.4335494,139158,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0377,isic0377,491588,21900417,http://sicily.classics.ox.ac.uk/inscription/isic0377,10.5281/zenodo.4384371,141190,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
"
Funerary inscription for Tyche
",isic0378,491589,21900418,http://sicily.classics.ox.ac.uk/inscription/isic0378,10.5281/zenodo.4335496,139156,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0379,isic0379,491572,21900401,http://sicily.classics.ox.ac.uk/inscription/isic0379,10.5281/zenodo.4335498,139173,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0380,isic0380,491591,21900420,http://sicily.classics.ox.ac.uk/inscription/isic0380,10.5281/zenodo.4384373,141192,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,,,
I.Sicily inscription 0381,isic0381,491592,21900421,http://sicily.classics.ox.ac.uk/inscription/isic0381,10.5281/zenodo.4384375,141193,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0382,isic0382,491593,21900422,http://sicily.classics.ox.ac.uk/inscription/isic0382,10.5281/zenodo.4384377,141194,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary inscription for Vipsanius Atticus,isic0383,491594,21900423,http://sicily.classics.ox.ac.uk/inscription/isic0383,10.5281/zenodo.4335500,138809,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0384,isic0384,491595,21900424,http://sicily.classics.ox.ac.uk/inscription/isic0384,10.5281/zenodo.4384379,141195,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0385,isic0385,491596,21900425,http://sicily.classics.ox.ac.uk/inscription/isic0385,10.5281/zenodo.4335502,139212,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0386,isic0386,491597,21900426,http://sicily.classics.ox.ac.uk/inscription/isic0386,10.5281/zenodo.4384381,141196,,,,,(?),,,,,,
I.Sicily inscription 0387,isic0387,491598,21900427,http://sicily.classics.ox.ac.uk/inscription/isic0387,10.5281/zenodo.4384383,,,,,,(?),,,,,,
I.Sicily inscription 0388,isic0388,491599,21900428,http://sicily.classics.ox.ac.uk/inscription/isic0388,10.5281/zenodo.4384385,141197,,,,,(?),,,,,,
I.Sicily inscription 0389,isic0389,491600,21900429,http://sicily.classics.ox.ac.uk/inscription/isic0389,10.5281/zenodo.4384387,141198,,,,,(?),,,,,,
I.Sicily inscription 0390,isic0390,491601,21900430,http://sicily.classics.ox.ac.uk/inscription/isic0390,10.5281/zenodo.4384389,141199,,,,,(?),,,,,,
I.Sicily inscription 0391,isic0391,491602,21900431,http://sicily.classics.ox.ac.uk/inscription/isic0391,10.5281/zenodo.4384391,141200,,,,,(?),,,,,,
I.Sicily inscription 0392,isic0392,491603,21900432,http://sicily.classics.ox.ac.uk/inscription/isic0392,10.5281/zenodo.4384393,081507,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,,,
I.Sicily inscription 0393,isic0393,491604,21900433,http://sicily.classics.ox.ac.uk/inscription/isic0393,10.5281/zenodo.4384395,,140830,,,,(?),,,,,,
I.Sicily inscription 0394,isic0394,491605,21900435,http://sicily.classics.ox.ac.uk/inscription/isic0394,10.5281/zenodo.4384397,141201,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0395,isic0395,491606,21900436,http://sicily.classics.ox.ac.uk/inscription/isic0395,10.5281/zenodo.4384401,,,,,,(?),,,,,,
I.Sicily inscription 0396,isic0396,491607,21900437,http://sicily.classics.ox.ac.uk/inscription/isic0396,10.5281/zenodo.4384403,141210,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0397,isic0397,491608,21900438,http://sicily.classics.ox.ac.uk/inscription/isic0397,10.5281/zenodo.4384405,141215,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0398,isic0398,491609,21900439,http://sicily.classics.ox.ac.uk/inscription/isic0398,10.5281/zenodo.4335504,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0399,isic0399,491610,21900440,http://sicily.classics.ox.ac.uk/inscription/isic0399,10.5281/zenodo.4384407,141217,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0400,isic0400,491611,21900441,http://sicily.classics.ox.ac.uk/inscription/isic0400,10.5281/zenodo.4335506,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Candelabrum dedicated to Minerva,isic0401,491612,21900442,http://sicily.classics.ox.ac.uk/inscription/isic0401,10.5281/zenodo.4335540,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
Mosaic floor recording works dedicated to Venus,isic0402,491613,21900443,http://sicily.classics.ox.ac.uk/inscription/isic0402,10.5281/zenodo.4335544,,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
I.Sicily inscription 0403,isic0403,491614,21900444,http://sicily.classics.ox.ac.uk/inscription/isic0403,10.5281/zenodo.4335548,,,,scalpro,http://www.eagle-network.eu/voc/writing/lod/1,Engraved,,,,,,
Sarcophagus of Adelphia,isic0404,491615,21900445,http://sicily.classics.ox.ac.uk/inscription/isic0404,10.5281/zenodo.4335552,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0405,isic0405,491616,21900446,http://sicily.classics.ox.ac.uk/inscription/isic0405,10.5281/zenodo.4335554,,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
I.Sicily inscription 0406,isic0406,284592,21900447,http://sicily.classics.ox.ac.uk/inscription/isic0406,10.5281/zenodo.4335558,074189,140305,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0407,isic0407,491617,21900448,http://sicily.classics.ox.ac.uk/inscription/isic0407,10.5281/zenodo.4335560,,,,,,(?),,,,,,
Monumental Latin fragment,isic0408,491619,21900450,http://sicily.classics.ox.ac.uk/inscription/isic0408,10.5281/zenodo.4335564,,,,,,uncertain,,,,,,
I.Sicily inscription 0409,isic0409,491620,21900451,http://sicily.classics.ox.ac.uk/inscription/isic0409,10.5281/zenodo.4335566,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0410,isic0410,491621,21900452,http://sicily.classics.ox.ac.uk/inscription/isic0410,10.5281/zenodo.4384409,081528,,,seat inscription,http://www.eagle-network.eu/voc/typeins/lod/111.html,"seat
                        inscription",,,,,,
Fragmentary text of the colonia Syacusanorum,isic0411,491643,21900473,http://sicily.classics.ox.ac.uk/inscription/isic0411,10.5281/zenodo.4335570,,,,honorary inscription,https://www.eagle-network.eu/voc/typeins/lod/69.html,honorific; building?,,,,,,
I.Sicily inscription 0412,isic0412,491644,21900474,http://sicily.classics.ox.ac.uk/inscription/isic0412,10.5281/zenodo.4335574,,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building (?),low,,,,,
I.Sicily inscription 0413,isic0413,175782,21900476,http://sicily.classics.ox.ac.uk/inscription/isic0413,10.5281/zenodo.4335576,081525,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,"funerary; building
                        (?)",,,,,,
I.Sicily inscription 0414,isic0414,491645,21900477,http://sicily.classics.ox.ac.uk/inscription/isic0414,10.5281/zenodo.4335580,,,,,,(?),,,,,,
I.Sicily inscription 0415,isic0415,266318,21900478,http://sicily.classics.ox.ac.uk/inscription/isic0415,10.5281/zenodo.4384413,146571; 081204,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0416,isic0416,175781,21900479,http://sicily.classics.ox.ac.uk/inscription/isic0416,10.5281/zenodo.4335584,081524,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0417,isic0417,491646,21900480,http://sicily.classics.ox.ac.uk/inscription/isic0417,10.5281/zenodo.4335586,,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building; honorific,,,,,,
I.Sicily inscription 0418,isic0418,491647,21900481,http://sicily.classics.ox.ac.uk/inscription/isic0418,10.5281/zenodo.4335590,,,,,,(?),,,,,,
I.Sicily inscription 0419,isic0419,491648,21900482,http://sicily.classics.ox.ac.uk/inscription/isic0419,10.5281/zenodo.4335596,,140311,,uncertain,,(?),,,,,,
I.Sicily inscription 0420,isic0420,491649,21900483,http://sicily.classics.ox.ac.uk/inscription/isic0420,10.5281/zenodo.4335602,,,,stamp,http://www.eagle-network.eu/voc/typeins/lod/118,stamp,,,,,,
I.Sicily inscription 0421,isic0421,575350,21900542,http://sicily.classics.ox.ac.uk/inscription/isic0421,10.5281/zenodo.4335606,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0422,isic0422,491650,21900484,http://sicily.classics.ox.ac.uk/inscription/isic0422,10.5281/zenodo.4335610,,,,,,(?),,,,,,
Funerary stone of Annius Anthimus,isic0423,491651,21900485,http://sicily.classics.ox.ac.uk/inscription/isic0423,10.5281/zenodo.4335614,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary inscription of Burnia Primula,isic0424,491652,21900486,http://sicily.classics.ox.ac.uk/inscription/isic0424,10.5281/zenodo.4335618,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0425,isic0425,491653,21900487,http://sicily.classics.ox.ac.uk/inscription/isic0425,10.5281/zenodo.4335622,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0426,isic0426,491654,21900488,http://sicily.classics.ox.ac.uk/inscription/isic0426,10.5281/zenodo.4335626,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific; funerary,,,,,,
I.Sicily inscription 0427,isic0427,491655,21900489,http://sicily.classics.ox.ac.uk/inscription/isic0427,10.5281/zenodo.4335628,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0428,isic0428,491656,21900490,http://sicily.classics.ox.ac.uk/inscription/isic0428,10.5281/zenodo.4337354,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Epitaph for Dominicus Macedon,isic0429,491657,21900491,http://sicily.classics.ox.ac.uk/inscription/isic0429,10.5281/zenodo.4335638,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0430,isic0430,491658,21900492,http://sicily.classics.ox.ac.uk/inscription/isic0430,10.5281/zenodo.4335642,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0431,isic0431,491659,21900493,http://sicily.classics.ox.ac.uk/inscription/isic0431,10.5281/zenodo.4335648,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary stone of Iobacchus,isic0432,491660,21900494,http://sicily.classics.ox.ac.uk/inscription/isic0432,10.5281/zenodo.4335652,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary stone of Gn. Julius Felix,isic0433,491661,21900495,http://sicily.classics.ox.ac.uk/inscription/isic0433,10.5281/zenodo.4335656,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary stone of L. Licinius Daphnus,isic0434,491662,21900496,http://sicily.classics.ox.ac.uk/inscription/isic0434,10.5281/zenodo.4335660,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary inscription for Marcus Lus[-?] Silvan[us],isic0435,491663,21900497,http://sicily.classics.ox.ac.uk/inscription/isic0435,10.5281/zenodo.4335664,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0436,isic0436,491664,21900498,http://sicily.classics.ox.ac.uk/inscription/isic0436,10.5281/zenodo.4335668,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),low,,,,,
Epitaph for Ofillia Proba and L. Ofillius Faustus,isic0437,536801,11501745,http://sicily.classics.ox.ac.uk/inscription/isic0437,10.5281/zenodo.4335672,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0438,isic0438,491666,21900500,http://sicily.classics.ox.ac.uk/inscription/isic0438,10.5281/zenodo.4335676,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,,,
I.Sicily inscription 0439,isic0439,491667,21900501,http://sicily.classics.ox.ac.uk/inscription/isic0439,10.5281/zenodo.4335680,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,,,
I.Sicily inscription 0440,isic0440,491668,21900502,http://sicily.classics.ox.ac.uk/inscription/isic0440,10.5281/zenodo.4335684,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,,,
I.Sicily inscription 0441,isic0441,491669,21900503,http://sicily.classics.ox.ac.uk/inscription/isic0441,10.5281/zenodo.4335688,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,,,
I.Sicily inscription 0442,isic0442,491670,21900504,http://sicily.classics.ox.ac.uk/inscription/isic0442,10.5281/zenodo.4335690,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,,,
I.Sicily inscription 0443,isic0443,491671,21900505,http://sicily.classics.ox.ac.uk/inscription/isic0443,10.5281/zenodo.4335692,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,,,
I.Sicily inscription 0444,isic0444,491672,21900506,http://sicily.classics.ox.ac.uk/inscription/isic0444,10.5281/zenodo.4335696,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,,,
I.Sicily inscription 0445,isic0445,491673,21900507,http://sicily.classics.ox.ac.uk/inscription/isic0445,10.5281/zenodo.4335698,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),low,,,,,
Funerary inscription of Sporus,isic0446,491674,21900508,http://sicily.classics.ox.ac.uk/inscription/isic0446,10.5281/zenodo.4335702,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Funerary inscription for Silbana,isic0447,491675,21900509,http://sicily.classics.ox.ac.uk/inscription/isic0447,10.5281/zenodo.4335706,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0448,isic0448,491676,21900510,http://sicily.classics.ox.ac.uk/inscription/isic0448,10.5281/zenodo.4335710,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0449,isic0449,491677,21900511,http://sicily.classics.ox.ac.uk/inscription/isic0449,10.5281/zenodo.4335714,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0450,isic0450,491678,21900512,http://sicily.classics.ox.ac.uk/inscription/isic0450,10.5281/zenodo.4335718,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0451,isic0451,491679,21900513,http://sicily.classics.ox.ac.uk/inscription/isic0451,10.5281/zenodo.4337475,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0452,isic0452,491680,21900514,http://sicily.classics.ox.ac.uk/inscription/isic0452,10.5281/zenodo.4337479,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0453,isic0453,491681,21900515,http://sicily.classics.ox.ac.uk/inscription/isic0453,10.5281/zenodo.4337483,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0454,isic0454,491683,21900517,http://sicily.classics.ox.ac.uk/inscription/isic0454,10.5281/zenodo.4337487,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0455,isic0455,491684,21900518,http://sicily.classics.ox.ac.uk/inscription/isic0455,10.5281/zenodo.4337493,,,,,,(?),,,,,,
I.Sicily inscription 0456,isic0456,491685,21900519,http://sicily.classics.ox.ac.uk/inscription/isic0456,10.5281/zenodo.4337497,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0457,isic0457,491686,21900520,http://sicily.classics.ox.ac.uk/inscription/isic0457,10.5281/zenodo.4337503,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0458,isic0458,175814,21900521,http://sicily.classics.ox.ac.uk/inscription/isic0458,10.5281/zenodo.4337507,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0459,isic0459,491687,21900522,http://sicily.classics.ox.ac.uk/inscription/isic0459,10.5281/zenodo.4337511,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0460,isic0460,491688,21900527,http://sicily.classics.ox.ac.uk/inscription/isic0460,10.5281/zenodo.4337515,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0461,isic0461,491689,21900524,http://sicily.classics.ox.ac.uk/inscription/isic0461,10.5281/zenodo.4337519,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,,,
I.Sicily inscription 0462,isic0462,491690,21900525,http://sicily.classics.ox.ac.uk/inscription/isic0462,10.5281/zenodo.4337523,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0463,isic0463,491691,21900526,http://sicily.classics.ox.ac.uk/inscription/isic0463,10.5281/zenodo.4337525,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0465,isic0465,491693,21900528,http://sicily.classics.ox.ac.uk/inscription/isic0465,10.5281/zenodo.4337527,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0466,isic0466,491694,21900529,http://sicily.classics.ox.ac.uk/inscription/isic0466,10.5281/zenodo.4337529,,175458,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0467,isic0467,491695,21900530,http://sicily.classics.ox.ac.uk/inscription/isic0467,10.5281/zenodo.4337531,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
A dedication to the Caesars by L. Caelius Quadratus,isic0468,491697,21900532,http://sicily.classics.ox.ac.uk/inscription/isic0468,10.5281/zenodo.4337535,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
Dedication to Apollo,isic0469,491767,22000851,http://sicily.classics.ox.ac.uk/inscription/isic0469,10.5281/zenodo.4337539,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
Bilingual sign advertising engraving of inscriptions,isic0470,491798,22000882,http://sicily.classics.ox.ac.uk/inscription/isic0470,10.5281/zenodo.4337543,140617,175744,,advertisement,http://www.eagle-network.eu/voc/typeins/lod/128.html,advertisement,,,,,,
I.Sicily inscription 0471,isic0471,491823,22100027,http://sicily.classics.ox.ac.uk/inscription/isic0471,10.5281/zenodo.4384415,,,,,,(?),,,,,,
I.Sicily inscription 0472,isic0472,644828,,http://sicily.classics.ox.ac.uk/inscription/isic0472,10.5281/zenodo.4384419,,,,,,(?),,,,,,
Dedication to the Concordia of the Agrigentines,isic0473,491698,21900533,http://sicily.classics.ox.ac.uk/inscription/isic0473,10.5281/zenodo.4337547,142394,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,,,
Funerary inscription for Calbentius Motho,isic0474,491699,21900534,http://sicily.classics.ox.ac.uk/inscription/isic0474,10.5281/zenodo.4337551,142396,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
Fragment of a base,isic0475,491700,21900535,http://sicily.classics.ox.ac.uk/inscription/isic0475,10.5281/zenodo.4337555,142397,,,unknown,https://www.eagle-network.eu/voc/typeins/lod/143.html,unknown,,,,,,
Fragment,isic0476,491701,21900536,http://sicily.classics.ox.ac.uk/inscription/isic0476,10.5281/zenodo.4337559,142398,,,unknown,https://www.eagle-network.eu/voc/typeins/lod/143.html,unknown,,,,,,
Epitaph for Placida,isic0477,491702,21900537,http://sicily.classics.ox.ac.uk/inscription/isic0477,10.5281/zenodo.4337565,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
